t,h,label,relatedness_score,sentence_h_en,sentence_t_en
رجل يشير إلى سيارة فضية اللون,رجل في موقف للسيارات ويلعب التنس ضد صديق,0,1.3,A man is in a parking lot and is playing tennis against a friend,A man is pointing at a silver sedan
رجل يجلس القرفصاء ويأخذ صورة,فتاة ترتدي فستاناً بلون ذهبي وأرجواني وتضع عقداً بلون قوس قزح ,0,1.0,A girl in gold and purple is holding a rainbow afghan,A man is squatting in brush and taking a photo
قطة تجلس على البيانو,يعزف  القط  على بيانو,0,3.6,A cat is playing a piano,A cat is sitting on a piano
امرأة تصب المكونات في وعاء,لا توجد امرأة تصب المكونات في وعاء,2,4.0,There is no woman pouring ingredients into a bowl,A woman is pouring ingredients into a bowl
الغزلان يقفز من فوق السياج,غزال يقف داخل سياج,2,3.5,A deer is standing inside a fence,The deer is jumping over the fence
شابان يلعبان في الخارج بالقرب من تمثال ذهبي,شخصان ينظران إلى تمثال ذهبي,0,3.3,Two people are looking at a gold statue,Two young men are playing outside near a golden statue
امرأة ترتدي قميصًا أزرق مع سترة بيضاء وقبعة بيضاء وتتحدث وتسير,امرأة ترتدي الزي الأزرق والأبيض مع قبعة بيضاء وزرقاء وتفتح فمها بالقرب من الآخرين وهي ترتدي نفس الموضة,0,3.2,A woman wearing a blue and white uniform with a white and blue hat is keeping her mouth open and is near others dressed in the same fashion,A woman is wearing a blue shirt with a white vest and a white cap and is talking and marching
امرأة جالسة بجانب كلب وتبتسم لفتاة صغيرة تجلس على الرصيف,امرأة تعرض كلبًا صغيرًا لطفل رضيع,0,3.2,A woman is showing a small dog to an infant,A woman is crouching down next to a dog and is smiling at a young girl sitting on the sidewalk
صبي يجلس في غرفة ويعزف على البيانو بجانب المصباح,صبي يقف في غرفة بضوء مصباح,0,3.7,A boy is standing in a room by a lamp light,A boy is sitting in a room and playing a piano by lamp light
امرأة يضيف المكونات إلى وعاء,امرأة يضيف المكونات إلى وعاء كبير,1,4.6,A woman is adding ingredients to a big bowl,A woman is adding ingredients to a bowl
رجل يقطع بعض الخبز,لا يوجد أي تشريح بعض الخبز رجل,2,3.9,There is no man slicing some bread,A man is slicing some bread
سيدة يقوم بقطع الطماطم إلى شرائح,المرأة  تطبخ الطماطم ,0,3.7,The woman is holding a whole tomato,The lady is slicing a tomato
مجموعة كبيرة من الأصدقاء لا يركبون الأمواج,مجموعة كبيرة من الأصدقاء يركبون الأمواج,2,3.7,A group of friends are riding the current in a raft,A group is not riding the current in a raft
بعض النساء يتحدثون,الرجال لا يتحدثون,0,3.4,The men are not talking,Some women are talking
كلبان بنيان يتركان طبق فريسبي في الماء,كلبان بنيان يلعبان مع الطائر الطائر في الماء,0,3.8,Two brown dogs are playing with a frisbee in the water,Two brown dogs are leaving a frisbee in the water
يلعب كلب,كلب بالقرب من الكرة الحمراء,0,2.7,A dog is near the red ball in the air,"A dog, which is small, is playing on the green grass"
امرأة تغلي البيض,امرأة يأخذ اثنين من البيض من وعاء من الماء,0,3.9,A woman is taking two eggs out of a pot of water,A woman is boiling eggs
خمسة أشخاص يقفون مع ثلاثة كلاب في الحديقة بجانب الطريق,خمسة أشخاص يقفون مع ثلاثة كلاب في الحقول الخضراء على جانب الطريق,0,4.3,Five people are standing with three dogs in the green field beside the road,Five people are standing with three dogs in the park beside the road
رجل وامرأة لا يأكلان,رجل وامرأة يأكلان,2,3.3,A man and a woman are eating,A man and a woman are not eating
رجل ملتح يقف بجانب عربة تسوق ويحمل لافتة من الورق المقوى,لا يوجد رجل يحمل لافتة ويطلب المال,0,3.4,There is no man holding a sign and seeking money,A bearded man is standing by a shopping cart and is holding a cardboard sign
رجل يرسم صورة,رجل يلتقط صورة لرسم,0,2.865,A man is taking a picture of a drawing,A man is drawing a picture
رجل يؤدي خدعة  على دراجة,رجل يرتدي ملابس سوداء ويركب الدراجة ,0,3.5,A man dressed in black is riding a bike,A man is performing a trick on a bike
شخص ما يقطع جزرة إلى قطع,أسد يتحرك ببطء,0,1.0,A lion is slowly moving around,A person is slicing a carrot into pieces
يقف الرجل بجانب قفص الطيور,رجل يقف بجانب قفص عصافير كبير وملون,1,4.6,A man is standing beside a birdcage which is large and colorful,The man is standing next to a bird cage
المصفقون يسيرون في موكب وهم يرتدون الزي الرسمي الأسود والوردي والأبيض,يسير العديد من المشجعين في موكب,0,3.6,Many cheerleaders are walking in a parade,"The cheerleaders are parading and wearing black, pink and white uniforms"
امرأة جالسة تغني أغنية وتعزف على الجيتار,امرأة جالسة تغني أغنية وتعزف على الجيتار,1,5.0,"A woman, who is seated, is singing a song and playing the guitar",A seated woman is singing a song and playing the guitar
فتاة صغيرة باللون الأزرق يقفز في الهواء,فتاة صغيرة  ترتدي قميصا أزرق يقفز في الهواء,1,4.2,A young girl in a blue leotard is jumping in the air,A young girl in blue is jumping in the air
يضع شخص اللحم في مقلاة,الرجل يقوم بتمارين,0,1.1,The man is doing exercises,A person is putting meat into a skillet
رجل أسود يرقص على الرصيف,لا يقف الذكر ذو البشرة الداكنة على يد واحدة أمام مبنى أصفر,0,3.0,The dark skinned male is not standing on one hand in front of a yellow building,A black man is break dancing on the pavement
 شخص يمشط فراء القط, الشخص ينظف قطة بالفرشاة,1,4.6,A person is brushing a cat,A person is combing the fur of a cat
الرجال يتحدثون,الرجال لا يتحدثون,2,3.9,The men are not talking,The men are talking
رجل يرتدي قميصًا أبيض ونظارة شمسية ورجل يرتدي قميصًا أسود ونظارة شمسية يجلس على طاولة مع أربع زجاجات بيرة,يجلس اثنان من الرجال حول طاولة ويحملون البيرة في أيديهم,0,4.0,Two blokes are sitting around a table and holding beers in their hands,A man in a white shirt and sunglasses and a man in a black shirt and sunglasses are sitting at a table with four beer bottles
المرأة  تمسك ضفدع ,رجل يمسك ضفدع,0,3.5,A man is holding a frog,The woman is handling a frog
رجل يقف بالقرب من الدراجة ويكتب على ورقة,رجل يرتدي الملابس الملونة ويجلس خارجا في منطقة مزدحمة يكتب شيئا ما,0,2.6,A man is wearing clothes that are covered with paint and is sitting outside in a busy area writing something,A man is standing near a bike and is writing on a piece paper
رجل يصطاد سمكة,الرجل يصطاد سمكة,1,4.9,The man is catching a fish,A man is catching a fish
امرأة تتزلج على البحيرة,المرأة تتزلج على الماء,0,3.6,The woman is waterskiing,A woman is wakeboarding on a lake
سيدة تقطع بعض اللحوم,امرأة تطبخ اللحوم معا,0,3.5,Some meat is being stitched together by a woman,A lady is cutting up some meat
لا أحد يقف على مقعد دراجة نارية,متسابق الدراجات النارية واقفا على مقعد دراجة نارية بيضاء,2,3.8,A motorcycle rider is standing up on the seat of a white motorcycle,No motorcycle rider is standing up on the seat of a motorcycle
